Laufende Nummer;Bildnummer;Sammlungsbereich;Hauptgruppe;Inventar-Nr.;OBJEKTGRUPPE_Objektbezeichnung;OBJEKTGRUPPE_Objektbezeichnung_Pfad im Thesaurus (autom.);Beschreibung des Gegenstandes;Abgebildete Institution;Abgebildeter Ort;HERSTELLUNG_KÜNSTLER/HERSTELLER_Typ (Person|Werkstatt);HERSTELLUNG_KÜNSTLER/HERSTELLER_Name;HERSTELLUNG_KÜNSTLER/HERSTELLER_Rolle;Material;Alte Inv.-Nr.(MfGSL);Rapport-Nr.;Stückzahl;EINLIEFERUNG_Schlagwort;Schlagwort-Gruppe_Schlagwort;HERSTELLUNG_DATIERUNG_Datierung verbal;HERSTELLUNG_DATIERUNG_Datierung Midas (autom.);HERSTELLUNG_DATIERUNG_Datierung Anfang (autom.);HERSTELLUNG_DATIERUNG_Datierung Ende (autom.);Technik;Maße;Abgebildeter Gegenstand;Alte Inv.-Nr.(GDM);Abgebildetes Ereignis;Erwähntes Ereignis;Objekttitel;HERSTELLUNG_Herstellungsort;Bearbeiter;Abgebildete Person;Dargestellte Zeit;Erwähnte Institution;Untergruppe;Weitere Inventar-Nr.;Erwähnte Person;ZUSATZMEDIEN_Medienart;ZUSATZMEDIEN_Ablage;ZUSATZMEDIEN_DATEINAME;Kategorie der Darstellung;URL;﻿Archivsignatur;GEOKOORDINATEN_MOTIV
S0007428;S0007428;Fotothek;Positive;5745;Fotografie;Graphik-Photographie » Photographie » Fotografie;Nonnenmühlgasse - Rocca`s Haus, Voigtländer;Rocca`s Haus;Nonnenmühlgasse;"Werkstatt;Werkstatt";"Vogel, Hermann;Vogel, Hermann (Kunsthandlung)";"Fotograf;Verleger";Fotopapier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/0/0f/S0007428.jpg;S0007428;POINT (51.3349367 12.3734121)
BB045241;BB045241;Fotothek;Negative;F/6422/2005;Negativ;;"Markt, West- und Nordbebauung, mit Siegesdenkmal; um 1903.";;"Siegesdenkmal;Markt";Person;Vogel, Hermann;Fotograf;Glas;1263;Rp.89.27;1;Platz;"Bauensemble;Denkmal";1903 (um);1898/1908;1898;1908;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045241.jpg;BB045241;POINT (51.34057855 12.3746931268184)
BB045322;BB045322;Fotothek;Negative;F/6532/2005;Negativ;;"Johannapark, Teichanlage, Hintergrund Katholische Kirche; um 1920.";Kirche, Katholische;"Johannapark;Rudolphstraße";Person;Vogel, Hermann;Fotograf;Glas;1869;Rp.89.27;1;;"Johannapark;Teich;Parkanlage;stehendes Gewässer;Kirche";1920 (um);1915/1925;1915;1925;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045322.jpg;BB045322;POINT (51.3346363 12.3630697677561)
S0008298;S0008298;Fotothek;Positive;5528 b;Fotografie;Graphik-Photographie » Photographie » Fotografie;Roßplatz - Hotel de Prusse, Café Bauer;Hotel de Prusse, Café Bauer;Roßplatz;Werkstatt;Vogel, Hermann;Verlag;Fotopapier;;ohne;;;;;;;;;;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/0/0e/S0008298.jpg;S0008298;POINT (51.3356784 12.3752383)
BB045645;BB045645;Fotothek;Negative;F/6624/2005;Fotografie;Graphik-Photographie » Photographie » Fotografie;"Augustusplatz, Museum der bildenden Künste; Skulpturensaal; um 1905.";Museum der bildenden Künste;"Skulpturensaal;Augustusplatz";Person;Vogel, Hermann;Fotograf;Glas;1828;Rp.89.27;1;;"Museum;Innenraum";1905 (um);1900/1910;1900;1910;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045645.jpg;BB045645;POINT (51.3423401 12.3757746557182)
BB045625;BB045625;Fotothek;Negative;F/6511/2005;Fotografie;Graphik-Photographie » Photographie » Fotografie;"Augustusplatz, Mendebrunnen, Neues Theater, Hauptpostamt; um 1905.";"Hauptpostamt, Altes;Theater, Neues";"Mendebrunnen;Augustusplatz 3";Person;Vogel, Hermann;Fotograf;Glas;1763;Rp.89.27;1;;"Platz;Brunnen;Spielstätte;Postamt";1905 (um);1900/1910;1900;1910;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045625.jpg;BB045625; POINT (51.3384755 12.3807725074008)
BB046561;BB046561;Fotothek;Negative;F/3990/2005;Negativ;;"Fotografie s/w, Augustusplatz, Augusteum, Pauliner Kirche und Café Francais; um 1890.";"Augusteum;Café Francais;Paulinerkirche";Augustusplatz;Person;Vogel, Hermann;Fotograf;Glas;6561;Rp.89/1927;1;;"Universität;Kirche;Gaststätte";1890 (um);1885/1895;1885;1895;"Negativ;s/w";13 x 18 cm;Mendebrunnen;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/e/ea/Bb046561.jpg;BB046561;POINT (51.338664 12.3790953598837)
BB045629;BB045629;Fotothek;Negative;F/6515/2005;Fotografie;Graphik-Photographie » Photographie » Fotografie;"Augustusplatz, Museum der bildenden Künste; um 1907.";Museum der bildenden Künste;Augustusplatz 6;Person;Vogel, Hermann;Fotograf;Glas;1767;Rp.89.27;1;;Museum;1907 (um);1902/1912;1902;1912;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045629.jpg;BB045629;POINT (51.337831 12.3822022852299)
BB046331;BB046331;Fotothek;Negative;F/3750/2005;Negativ;;"Grimmaische Straße mit Erker des Fürstenhauses; um 1895.";Fürstenhaus;Grimmaische Straße;Person;Vogel, Hermann;Fotograf;Glas;1214;Rp.89.27;1;;"Bürgerhaus;Geschäftshaus;Schmuckelement;Straßenzug";1895 (um);1890/1900;1890;1900;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/e/e3/Bb046331.jpg;BB046331;POINT (51.3398417 12.3778044)
BB046541;BB046541;Fotothek;Negative;F/3877/2005;Negativ;;"Petersstraße Nr. 26-34; links Restaurant 'Drei Könige'; um 1905.";Gaststätte Drei Könige;Petersstraße;Person;Vogel, Hermann;;Glas;1350;Rp.89.27;1;;"Bauensemble;Gaststätte;Messehaus";1905 (um);1900/1910;1900;1910;"Negativ;s/w";13x18;;/;Messe;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/3/33/Bb046541.jpg;BB046541;POINT (51.3384521 12.3744441)
